loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
南京,1366,2019,F,53,153,420,2.5,美国,英国,剧情,喜剧,悬疑
,199,2017,,3,,,,,,,,
黑河,323,2017,M,63,285,1260,0.9,香港,中国大陆,喜剧,剧情,动作
深圳,123,2011,,465,1510,6230,1.1,美国,日本,剧情,动画,喜剧
,32,2019,,1,,,,,,,,
成都,1117,2009,F,222,1167,3290,0.5,美国,中国大陆,剧情,爱情,喜剧
上海,48,2016,M,4,,,,,,,,
上海,174,2013,M,266,804,2030,0.8,美国,日本,剧情,科幻,惊悚
杭州,3083,2014,F,955,2882,9660,3.7,美国,日本,剧情,喜剧,动画
上海,2079,2009,F,550,3030,4830,1.1,日本,中国大陆,剧情,喜剧,动画
湘潭,6,2011,F,0,,,,,,,,
北京,304,2011,M,24,65,630,0.1,日本,美国,剧情,动画,爱情
保定,1688,2011,,96,509,490,0.3,日本,美国,剧情,动画,喜剧
,116,2018,,0,,,,,,,,
台州,384,2013,F,561,2833,10220,1.9,日本,中国大陆,剧情,喜剧,爱情
Chad,323,2019,,0,,,,,,,,
北京,154,2015,M,31,103,1540,0.2,美国,中国大陆,剧情,喜剧,科幻
武汉,32,2019,M,26,154,210,6.5,日本,美国,动画,剧情,科幻
上海,2027,2010,F,109,403,3360,0.3,美国,日本,剧情,动作,冒险
深圳,52,2018,,21,177,770,0.3,美国,中国大陆,剧情,冒险,动作
郑州,1808,2010,M,120,294,2100,0.3,美国,中国大陆,剧情,爱情,动作
天津,4170,2007,M,2071,10619,14980,3.3,美国,日本,剧情,喜剧,动作
北京,5258,2009,M,483,2373,10150,0.9,中国大陆,美国,剧情,喜剧,犯罪
杭州,2428,2014,M,208,438,8750,0.9,美国,中国大陆,动作,科幻,冒险
上海,1645,2010,U,57,578,840,0.1,美国,中国大陆,剧情,动作,奇幻
,1121,2016,F,99,435,3080,0.7,美国,中国大陆,剧情,动作,冒险
上海,626,2012,U,33,114,280,0.1,美国,英国,剧情,爱情,同性
,491,2009,U,59,246,490,0.1,美国,韩国,剧情,喜剧,爱情
上海,1054,2007,,33,243,420,0.1,美国,日本,剧情,喜剧,爱情
香港,394,2018,F,965,7552,10010,20.1,中国大陆,香港,剧情,动作,喜剧
上海,437,2008,F,3,,,,,,,,
北京,1669,2016,F,128,289,4830,0.8,美国,中国大陆,剧情,动作,冒险
北京,6579,2011,F,1099,7063,11270,2.7,美国,日本,剧情,喜剧,爱情
广州,676,2017,M,197,487,1680,1.6,美国,英国,剧情,惊悚,喜剧
上海,5123,2010,,415,964,5880,0.9,美国,日本,剧情,爱情,喜剧
,1157,2017,,405,2007,4550,4.8,日本,中国大陆,剧情,动画,喜剧
成都,354,2014,F,63,195,910,0.3,美国,中国大陆,剧情,爱情,同性
上海,170,2013,U,46,164,560,0.2,日本,美国,剧情,爱情,喜剧
