loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
洛阳,958,2016,M,9,,,,,,,,
北京,41,2011,M,193,1248,4550,0.5,中国大陆,美国,剧情,爱情,喜剧
北京,984,2009,M,224,899,1400,0.5,美国,英国,喜剧,剧情,动作
上海,3130,2011,F,1433,5677,11830,3.7,美国,中国大陆,剧情,爱情,喜剧
杭州,3330,2007,F,265,1072,1610,0.4,美国,英国,剧情,喜剧,爱情
北京,1371,2008,F,270,832,6020,0.5,美国,日本,剧情,冒险,动作
上海,1302,2009,M,292,942,7630,0.5,美国,中国大陆,剧情,爱情,动作
宜昌,826,2015,,544,2248,770,2.6,日本,美国,动画,剧情,喜剧
,,,,,,,,,,,,
天津,480,2011,,550,1501,7420,1.3,中国大陆,美国,剧情,爱情,喜剧
晋中,2363,2013,M,20,73,700,0.1,中国大陆,美国,喜剧,剧情,动作
昆明,2877,2009,,430,1502,7840,0.8,美国,日本,剧情,动作,动画
成都,1633,2011,,1,,,,,,,,
上海,2255,2008,M,12,60,140,0.0,中国大陆,美国,剧情,犯罪,动作
南京,2782,2011,M,450,1553,1680,1.1,美国,韩国,剧情,爱情,犯罪
南京,264,2013,F,6,,,,,,,,
Seattle,7234,2011,,192,714,1750,0.4,日本,美国,剧情,动画,爱情
上海,573,2018,,415,1314,7980,5.6,美国,英国,剧情,科幻,动作
苏州,70,2008,,10,21,210,0.0,法国,英国,剧情,喜剧,冒险
,753,2013,,754,4681,7280,2.4,中国大陆,美国,剧情,喜剧,动画
绍兴,449,2009,,117,393,1400,0.2,美国,中国大陆,剧情,冒险,爱情
保定,826,2012,M,0,,,,,,,,
澳门,10858,2010,M,110,361,280,0.3,美国,中国大陆,剧情,动作,犯罪
北京,52,2011,F,119,1337,1680,0.3,韩国,美国,剧情,爱情,喜剧
上海,2537,2010,M,525,1446,5740,1.1,美国,英国,剧情,动作,惊悚
杭州,3785,2008,F,764,4544,5740,1.3,美国,香港,剧情,爱情,喜剧
Auckland,2560,2015,U,266,1736,3990,1.4,美国,中国大陆,剧情,动画,喜剧
汕头,11118,2006,M,1136,3545,1680,1.6,日本,美国,动画,剧情,动作
徐州,2075,2015,F,76,198,1890,0.4,中国大陆,美国,剧情,喜剧,爱情
常州,6095,2009,,44,159,980,0.1,美国,中国大陆,剧情,爱情,科幻
南京,1320,2012,U,347,1092,4060,1.0,美国,英国,剧情,动作,犯罪
杭州,2011,2010,U,1341,2715,11480,2.9,美国,中国大陆,剧情,喜剧,动作
北京,1020,2009,,229,1191,4690,0.5,中国大陆,美国,剧情,爱情,喜剧
上海,628,2013,M,391,1835,4410,1.2,美国,日本,剧情,喜剧,动画
La Paz,662,2017,M,16,89,420,0.2,中国大陆,日本,剧情,悬疑,惊悚
西安,3311,2016,U,175,838,2660,1.1,美国,英国,剧情,喜剧,爱情
上海,5792,2010,M,1788,5799,6300,4.0,日本,美国,剧情,动画,喜剧
苏州,952,2014,M,308,995,5530,1.3,中国大陆,美国,剧情,喜剧,动作
北京,15609,2013,M,44,312,840,0.1,日本,美国,剧情,动画,动作
深圳,3334,2009,M,795,1906,12040,1.5,美国,中国大陆,剧情,喜剧,动作
北京,330,2013,M,85,288,1330,0.3,日本,美国,剧情,动画,科幻
Ciudad de Panamá,5128,2014,F,60,298,1190,0.3,美国,英国,剧情,惊悚,科幻
Waterloo,1487,2010,U,256,1093,5460,0.5,美国,中国大陆,剧情,喜剧,爱情
,1,2008,M,2048,3891,10990,3.7,美国,法国,剧情,喜剧,爱情
Pittsburgh,1911,2010,,146,940,1400,0.3,美国,英国,剧情,喜剧,爱情
,,,,,,,,,,,,
New York City,2072,2008,M,551,2534,3360,1.0,日本,美国,动画,剧情,爱情
深圳,1239,2009,M,1006,4059,8470,2.0,美国,香港,剧情,动作,喜剧
Berlin,2038,2007,,584,1876,4410,0.9,美国,英国,剧情,喜剧,爱情
北京,29707,2006,,1370,4084,10640,2.1,美国,中国大陆,剧情,喜剧,犯罪
Edinburgh,10953,2008,M,1052,2296,6230,1.8,美国,英国,剧情,动作,喜剧
San Francisco Bay Area,792,2014,U,675,3358,3080,2.6,日本,美国,动画,剧情,科幻
Providence,6811,2008,M,404,854,6160,0.7,美国,英国,剧情,动作,喜剧
Yokohama,335,2011,,1605,5720,8610,3.8,日本,美国,剧情,动画,喜剧
北京,1970,2012,U,233,820,3640,0.7,美国,英国,剧情,动画,冒险
Madison,660,2015,M,143,685,3850,0.7,美国,中国大陆,剧情,犯罪,喜剧
上海,1798,2007,F,2004,12092,9100,3.3,日本,美国,剧情,爱情,喜剧
Reykjavík,69,2015,U,694,2024,6650,3.1,美国,英国,剧情,喜剧,爱情
Freetown,1789,2008,M,2374,7958,27650,4.1,美国,中国大陆,剧情,喜剧,动作
上海,319,2011,M,44,95,2310,0.1,美国,中国大陆,动作,剧情,冒险
上海,1861,2007,,698,4075,3500,1.2,日本,香港,剧情,喜剧,爱情
上海,628,2010,,76,182,700,0.2,日本,美国,动画,剧情,冒险
上海,16807,2007,U,2010,7569,14490,3.1,美国,日本,剧情,动作,动画
上海,407,2017,U,52,183,1750,0.6,日本,中国大陆,剧情,动画,奇幻
杭州,350,2010,U,749,3464,12670,1.5,中国大陆,美国,剧情,爱情,喜剧
杭州,130,2017,F,1,,,,,,,,
北京,0,2014,,1,,,,,,,,
上海,1035,2008,,225,648,4620,0.4,美国,中国大陆,剧情,爱情,动作
上海,337,2012,F,431,1147,3010,1.1,美国,英国,剧情,喜剧,爱情
上海,1556,2011,,406,1275,9730,1.0,中国大陆,美国,剧情,爱情,喜剧
深圳,9713,2005,M,580,1541,8330,0.8,美国,中国大陆,剧情,爱情,喜剧
,4861,2012,U,904,2085,10360,2.7,美国,英国,喜剧,剧情,动作
南京,704,2008,,277,877,2660,0.5,日本,美国,剧情,喜剧,动画
杭州,1057,2011,F,391,1341,3430,1.2,美国,日本,喜剧,剧情,动作
西安,7003,2010,F,73,310,210,0.2,美国,英国,剧情,爱情,犯罪
,3874,2006,,1875,5149,16870,2.8,美国,中国大陆,剧情,喜剧,动作
上海,713,2010,,76,503,2590,0.2,中国大陆,美国,剧情,喜剧,冒险
香港,3460,2006,F,284,696,5670,0.4,中国大陆,美国,剧情,爱情,动画
上海,1447,2009,M,332,1240,2940,0.6,日本,美国,剧情,喜剧,爱情
,29,2016,F,0,,,,,,,,
成都,1009,2009,M,274,1168,2660,0.5,美国,中国大陆,剧情,惊悚,悬疑
上海,126,2016,,20,43,770,0.2,美国,澳大利亚,剧情,喜剧,动作
株洲,5193,2008,U,1089,3235,15890,2.0,中国大陆,美国,剧情,爱情,喜剧
丽水,5122,2008,F,1099,6103,10080,1.8,美国,日本,剧情,动画,喜剧
,,,,,,,,,,,,
Kosovo,1806,2015,U,22,49,280,0.1,美国,伊朗,剧情,家庭,悬疑
上海,2597,2009,,491,1973,7280,1.0,美国,日本,剧情,动作,冒险
台北,229,2012,F,1245,3004,7700,3.4,美国,英国,剧情,喜剧,惊悚
上海,12450,2010,M,1201,6057,8680,2.7,美国,日本,剧情,动画,喜剧
上海,4060,2013,M,57,193,770,0.2,日本,美国,剧情,喜剧,爱情
Los Angeles,740,2013,,186,453,3290,0.6,美国,日本,剧情,冒险,科幻
上海,5863,2008,,39,96,910,0.1,日本,美国,剧情,动画,科幻
香港,2833,2009,M,864,2485,11060,1.7,美国,日本,剧情,喜剧,动作
New York City,2220,2016,F,369,1740,3710,2.5,美国,日本,剧情,喜剧,爱情
上海,3153,2012,U,859,2378,3010,2.5,日本,美国,动画,剧情,喜剧
San Francisco Bay Area,34,2010,,151,327,4060,0.3,美国,英国,剧情,冒险,动作
上海,4981,2006,M,2118,6682,24640,3.2,美国,日本,剧情,喜剧,动作
上海,7549,2006,,808,2460,14770,1.2,美国,中国大陆,剧情,动作,冒险
Tōkyō,3193,2012,F,565,2006,5180,1.6,日本,美国,剧情,动画,喜剧
上海,14338,2007,,425,2115,8190,0.7,美国,日本,剧情,动作,动画
,,,,,,,,,,,,
上海,8,2013,,5,,,,,,,,
上海,629,2009,U,379,902,5880,0.8,美国,中国大陆,喜剧,动作,剧情
