54,杭州,3078,2014,F,954,2880,9590,3.7,117,5427,24935,2.0
135,上海,2075,2009,F,548,3018,4690,1.1,255,8793,72707,2.2
1,湘潭,6,2011,F,0,,,,2,,,
2,北京,304,2011,M,24,65,630,0.1,8,,,
67,保定,1682,2011,,96,509,490,0.3,13,403,4915,0.2
1,,116,2018,,0,,,,0,,,
19,台州,384,2013,F,561,2833,10220,1.9,171,5827,52844,2.4
27,Chad,323,2019,,0,,,,0,,,
2,北京,152,2015,M,31,103,1540,0.2,47,3252,26837,1.1
0,武汉,32,2019,M,26,154,210,6.5,0,,,
49,上海,2006,2010,F,109,403,3360,0.3,32,3283,6955,0.3
1,深圳,52,2018,,21,177,770,0.3,0,,,
14,郑州,1808,2010,M,120,294,2100,0.3,41,1078,11478,0.5
95,天津,4163,2007,M,2070,10609,14910,3.3,97,5279,44171,0.7
618,北京,5241,2009,M,482,2370,10150,0.9,32,1968,12809,0.3
806,杭州,2426,2014,M,208,438,8750,0.9,23,1296,7099,0.5
15,上海,1645,2010,U,57,578,840,0.1,10,375,4866,0.1
13,,1119,2016,F,99,435,3080,0.7,0,,,
9,上海,623,2012,U,31,111,280,0.1,34,976,11112,0.4
9,,488,2009,U,58,244,420,0.1,3,,,
13,上海,1053,2007,,33,243,420,0.1,23,550,6332,0.2
12,香港,390,2018,F,962,7514,9940,20.5,189,8167,68771,17.2
67,上海,437,2008,F,3,,,,0,,,
53,北京,1660,2016,F,127,287,4760,0.9,13,585,4361,0.4
102,北京,6546,2011,F,1094,7010,11200,2.7,278,8622,100024,3.0
12,广州,665,2017,M,195,483,1680,1.6,65,2273,19940,2.2
226,上海,5109,2010,,415,964,5880,0.9,205,5874,55160,1.9
1,,1154,2017,,405,2009,4550,4.8,43,1655,15587,2.3
6,南京,344,2014,F,62,186,910,0.3,1,,,
1,上海,171,2013,U,46,164,560,0.2,13,512,3659,0.2
18,忻州,1732,2015,M,232,984,560,1.2,3,,,
8,福州,772,2014,M,46,171,1050,0.2,14,460,5789,0.3
31,,151,2018,,381,3659,1470,12.3,166,9913,58403,23.7
13,泰安,978,2011,M,304,922,6930,0.7,64,2599,26666,0.7
52,北京,33,2013,,0,,,,0,,,
78,上海,1542,2016,,1160,3877,19880,8.8,31,1139,8129,1.1
289,上海,3312,2008,,755,3773,6160,1.3,393,18418,131621,3.6
70,北京,1305,2010,F,362,1120,5740,0.7,353,12208,123682,3.1
107,乌鲁木齐,269,2005,M,919,1765,9730,1.3,29,1715,15117,0.2
5856,San Francisco Bay Area,6099,2007,,1715,4450,16870,2.8,311,14389,103167,2.2
94,La Habana,13009,2010,,897,4207,10290,1.9,10,1657,17924,0.1
178,上海,2487,2009,M,1220,3389,8890,2.3,387,15937,130854,3.3
42,广州,1786,2010,U,19,57,70,0.0,37,4670,12930,0.4
3745,Antarctica,23815,2008,U,244,1256,2380,0.4,1384,105885,886436,10.7
24,合肥,1098,2011,U,209,1169,3010,0.5,107,4205,36378,1.2
138,北京,5326,2008,,768,2408,6020,1.3,417,12931,125489,3.2
11,Fiji,4630,2008,,798,2495,7210,1.5,354,13980,109105,2.8
1,,27,2015,M,337,1086,4270,1.7,112,5361,33212,2.4
5,,51,2018,,28,57,1400,1.3,6,,,
519,上海,4264,2005,M,1231,2757,15470,1.7,91,3740,28616,0.6
0,,598,2017,,100,244,3010,0.8,14,613,4901,0.6
15,,413,2012,,247,827,6300,0.7,51,1576,16320,0.6
2,香港,372,2010,M,84,285,1050,0.2,77,3499,28223,0.7
21,杭州,1097,2006,M,207,445,4970,0.3,267,11243,79783,1.8
278,西安,4640,2010,M,562,1872,8960,1.2,126,5350,28828,1.2
11,上海,426,2014,,70,195,700,0.3,61,3016,16150,1.0
